Firm,Period,ICB Sector,ROA,ROE,TA,Total Liabilities,OI_GROWTH,REV_GROWTH,Treated,After,TA_lag,Total Liabilities_lag
GOLL.JK,2020Q2,Food Producers,-0.337530853,-3,2595684229130,2028069219440,459.4748727,-86.974343,0,1,2.59135E+12,1.95129E+12
GPRA.JK,2020Q2,Real Estate Investment and Services Development,-0.571854334,-1,1820179869950,668360519270,-11.9784597,-21.73504633,1,1,1.70592E+12,7.41496E+11
GTBO.JK,2020Q2,"Oil, Gas and Coal",0.976956222,1,764102605600,196704476100,-389.9559128,-74.26694343,0,1,8.05394E+11,1.86E+11
GWSA.JK,2020Q2,Real Estate Investment and Services Development,0.076588345,0,7628495422340,636987252660,-65.21223725,-65.22579243,1,1,7.63402E+12,7.30965E+11
GZCO.JK,2020Q2,Food Producers,-5.837227173,-15,1657420000000,1106455000000,-28.66776403,-12.93274102,0,1,1.81067E+12,1.18987E+12
HADE.JK,2020Q2,Investment Banking and Brokerage Services,-2.583876135,-4,17132302180,7801434360,21.29045126,0.902327989,1,1,17586671680,7790372260
HDFA.JK,2020Q2,Finance and Credit Services,-2.479582988,-5,951837235000,399999294000,48.92833091,-76.32429566,0,1,1.133E+12,5.55312E+11
HDTX.JK,2020Q2,Industrial Materials,-8.39207431,-35,423791061000,368145852000,1019.586089,-97.07802561,1,1,4.4407E+11,3.41013E+11
HERO.JK,2020Q2,Retailers,-2.430719652,-5,6400799000000,3084236000000,351.6692411,-34.81248687,1,1,6.64201E+12,3.16361E+12
HEXA.JK,2020Q2,Industrial Engineering,3.024150732,4,3585164850000,945242486800,-19.1684485,-52.42649696,1,1,4.33617E+12,1.42944E+12
HITS.JK,2020Q2,Industrial Transportation,2.523956522,9,3237588804000,2402915356000,13.44319174,12.61859906,1,1,2.82941E+12,2.17146E+12
HMSP.JK,2020Q2,Tobacco,2.974695127,5,41904844000000,15292555000000,-57.0706071,-21.8098518,1,1,6.33E+13,2.42324E+13
HOKI.JK,2020Q2,Food Producers,1.080756963,1,833146552560,230123715820,-32.12556753,-33.74434295,0,1,8.89055E+11,2.0711E+11
HOME.JK,2020Q2,Travel and Leisure,-0.915061926,-1,2474783939540,327826189110,-31.579957,-33.08310948,1,1,2.48097E+12,1.22537E+11
HOTL.JK,2020Q2,Travel and Leisure,-1.219673359,-5,1366909817110,1044068369780,-291.233437,-88.18966267,1,1,1.40882E+12,9.85592E+11
HRUM.JK,2020Q2,"Oil, Gas and Coal",4.79728938,7,6617640235800,1901164640600,187.5184185,-38.68612843,0,1,7.25989E+12,2.18199E+12
IATA.JK,2020Q2,Travel and Leisure,-1.882125196,-4,950352533400,514303794000,117.5815677,-25.18755199,1,1,1.08367E+12,3.51161E+11
IBFN.JK,2020Q2,Finance and Credit Services,0.09867396,1,1507547175530,1221227476360,64.11778086,56.13936397,0,1,1.49659E+12,1.23771E+12
IBST.JK,2020Q2,Telecommunications Service Providers,0.21390919,0,9091475058740,2973208014770,35.18136008,19.63542526,0,1,8.96264E+12,3.09031E+12
ICBP.JK,2020Q2,Food Producers,3.461922156,5,43458424000000,14804768000000,43.21223318,1.529915189,0,1,4.21015E+13,1.34085E+13
ICON.JK,2020Q2,Real Estate Investment and Services Development,1.07363348,2,361056330810,186264691480,-21.75458975,-10.09665601,1,1,3.69072E+11,1.97051E+11
IDPR.JK,2020Q2,Construction and Materials,-4.061920682,-7,1784249098180,762004216140,-425.6433385,-20.83184906,0,1,1.90825E+12,7.89392E+11
IGAR.JK,2020Q2,General Industrials,2.851005776,3,667893177380,263316717090,-33.89064475,14.45605704,1,1,6.56351E+11,2.32869E+11
IIKP.JK,2020Q2,Food Producers,-0.698079625,-1,377810296040,24725318130,-20.42216989,9.560386247,0,1,3.80836E+11,25105654440
IKBI.JK,2020Q2,Electronic and Electrical Equipment,-0.776812551,-1,1495199815000,364370852000,-146.7050208,-3.656801056,1,1,1.43281E+12,4.64806E+11
IMAS.JK,2020Q2,Automobiles and Parts,-0.472520946,-2,45399410402470,39103943501460,-27.54927037,-40.1652923,1,1,4.69646E+13,3.65935E+13
IMJS.JK,2020Q2,Consumer Services,0.060469118,1,26364886750130,23501612229010,8.341437242,23.22815448,1,1,2.42961E+13,2.13223E+13
IMPC.JK,2020Q2,General Industrials,-1.15556387,-2,2638605191140,1433672309720,-179.3029287,9.45314214,1,1,2.71347E+12,1.47517E+12
INAF.JK,2020Q2,Pharmaceuticals and Biotechnology,1.143135151,3,1555305636110,1055033558290,354.2393838,28.63334164,0,1,1.37826E+12,8.94756E+11
INAI.JK,2020Q2,Industrial Metals and Mining,0.112763745,0,1278313122530,957640127470,-14.99597921,17.82735146,1,1,1.21289E+12,8.93626E+11
INCF.JK,2020Q2,Chemicals,-0.956643167,-3,451889308260,322033752620,-485.7661506,-26.54507424,0,1,4.60552E+11,3.20972E+11
INCI.JK,2020Q2,Chemicals,0.884921806,1,435929287040,87008930070,648.8554186,2.618091111,0,1,4.41922E+11,66991575750
INCO.JK,2020Q2,Precious Metals and Mining,1.089965074,1,31724247540000,3437714120000,-360.0854073,12.43450793,1,1,3.58204E+13,3.6926E+12
INDF.JK,2020Q2,Food Producers,1.61041198,4,103395472000000,62871869000000,33.21967771,3.294043014,0,1,1.02662E+14,5.84206E+13
INDR.JK,2020Q2,Personal Goods,-0.421193086,-1,10683369823400,5401121445200,-214.4229246,-47.15160305,1,1,1.28027E+13,6.67789E+12
INDS.JK,2020Q2,Automobiles and Parts,-0.583110652,-1,2843332367080,290707625150,84.68217248,-36.84748109,1,1,2.8934E+12,2.74841E+11
INDY.JK,2020Q2,"Oil, Gas and Coal",0.058023228,0,47766854491800,36692914718800,-75.01587713,-28.01261957,0,1,5.73891E+13,4.40999E+13
INKP.JK,2020Q2,Industrial Materials,0.286970872,1,117848647080000,68549112100000,27.67786708,-11.55023416,1,1,1.36696E+14,6.24175E+13
